score,trades,return_pct,max_dd,win_rate,profit_factor,rsi_entry,rsi_exit,vwap_band,take_profit,stop_loss,max_hold_bars
359.70679538028287,1809,2.2538935276845695,-0.007038490746128163,0.6069651741293532,1.123457087167824,35,55,0.002,0.0035,0.004,60
359.70679538028287,1809,2.2538935276845695,-0.007038490746128163,0.6069651741293532,1.123457087167824,35,55,0.002,0.0035,0.004,90
339.80699871499075,1865,2.2061533993772198,-0.007269856986061679,0.6155495978552279,1.1199076597379851,35,55,0.002,0.003,0.004,90
339.80699871499075,1865,2.2061533993772198,-0.007269856986061679,0.6155495978552279,1.1199076597379851,35,55,0.002,0.003,0.004,60
333.73284758093274,1916,2.241152311651695,-0.007505066332186442,0.5876826722338204,1.1177379056962828,35,55,0.002,0.0035,0.0035,90
333.73284758093274,1916,2.241152311651695,-0.007505066332186442,0.5876826722338204,1.1177379056962828,35,55,0.002,0.0035,0.0035,60
327.5093406226887,1974,2.1242954993200502,-0.007204704769157262,0.596757852077001,1.1109262428055948,35,55,0.002,0.003,0.0035,60
327.5093406226887,1974,2.1242954993200502,-0.007204704769157262,0.596757852077001,1.1109262428055948,35,55,0.002,0.003,0.0035,90
313.80309515955594,1547,1.8931126968096068,-0.006801365708265097,0.59469941822883,1.1275627791510676,30,55,0.002,0.003,0.0035,90
313.80309515955594,1547,1.8931126968096068,-0.006801365708265097,0.59469941822883,1.1275627791510676,30,55,0.002,0.003,0.0035,60
308.6118915637788,1844,1.9281373031570848,-0.006925790808585241,0.6030368763557483,1.1086814255415767,35,50,0.002,0.0035,0.004,90
308.6118915637788,1844,1.9281373031570848,-0.006925790808585241,0.6030368763557483,1.1086814255415767,35,50,0.002,0.0035,0.004,60
304.1255052410711,1946,1.983781772218851,-0.0072236929902176695,0.5899280575539568,1.1075882622935889,35,50,0.002,0.0035,0.0035,90
304.1255052410711,1946,1.983781772218851,-0.0072236929902176695,0.5899280575539568,1.1075882622935889,35,50,0.002,0.0035,0.0035,60
303.8995815114005,1518,2.02394905601484,-0.007559094054227653,0.5843214756258235,1.135161684252277,30,55,0.002,0.0035,0.0035,60
303.8995815114005,1518,2.02394905601484,-0.007559094054227653,0.5843214756258235,1.135161684252277,30,55,0.002,0.0035,0.0035,90
290.92665675145133,1898,1.8352384668681054,-0.006954279586568112,0.6095890410958904,1.1025685617548142,35,50,0.002,0.003,0.004,90
290.92665675145133,1898,1.8352384668681054,-0.006954279586568112,0.6095890410958904,1.1025685617548142,35,50,0.002,0.003,0.004,60
288.3468553980866,1448,1.836863611678452,-0.007200811750461873,0.5863259668508287,1.130524747842949,30,55,0.0025,0.003,0.0035,60
288.3468553980866,1448,1.836863611678452,-0.007200811750461873,0.5863259668508287,1.130524747842949,30,55,0.0025,0.003,0.0035,90
285.982774706582,2003,1.8670220267728244,-0.007182585048259955,0.5966050923614579,1.1003520874325876,35,50,0.002,0.003,0.0035,90
285.982774706582,2003,1.8670220267728244,-0.007182585048259955,0.5966050923614579,1.1003520874325876,35,50,0.002,0.003,0.0035,60
279.6433598235542,1418,1.9563044269145236,-0.007958235352155448,0.57475317348378,1.1377305519947116,30,55,0.0025,0.0035,0.0035,90
279.6433598235542,1418,1.9563044269145236,-0.007958235352155448,0.57475317348378,1.1377305519947116,30,55,0.0025,0.0035,0.0035,60
275.9112772708197,1464,1.708223518502594,-0.006921340034355708,0.6120218579234973,1.1180923689987898,30,55,0.002,0.003,0.004,90
275.9112772708197,1464,1.708223518502594,-0.006921340034355708,0.6120218579234973,1.1180923689987898,30,55,0.002,0.003,0.004,60
263.1727279144063,1550,1.6237410297648802,-0.0068688239991993045,0.5948387096774194,1.113447458073367,30,50,0.002,0.003,0.0035,60
263.1727279144063,1550,1.6237410297648802,-0.0068688239991993045,0.5948387096774194,1.113447458073367,30,50,0.002,0.003,0.0035,90
255.26559488851487,1374,1.6707740781183755,-0.00733681549029018,0.606259097525473,1.1210922295494055,30,55,0.0025,0.003,0.004,60
255.26559488851487,1374,1.6707740781183755,-0.00733681549029018,0.606259097525473,1.1210922295494055,30,55,0.0025,0.003,0.004,90
254.7724080287601,1776,1.8139032021310175,-0.007827703904841025,0.5731981981981982,1.099583342284899,35,55,0.0025,0.0035,0.0035,60
254.7724080287601,1776,1.8139032021310175,-0.007827703904841025,0.5731981981981982,1.099583342284899,35,55,0.0025,0.0035,0.0035,90
251.68408145207894,1520,1.7136740784766458,-0.007617234441836956,0.5842105263157895,1.1188757313087037,30,50,0.002,0.0035,0.0035,60
251.68408145207894,1520,1.7136740784766458,-0.007617234441836956,0.5842105263157895,1.1188757313087037,30,50,0.002,0.0035,0.0035,90
250.5576566440897,1677,1.7848096826865278,-0.00784585455514788,0.5927251043530113,1.101568143896138,35,55,0.0025,0.0035,0.004,90
250.5576566440897,1677,1.7848096826865278,-0.00784585455514788,0.5927251043530113,1.101568143896138,35,55,0.0025,0.0035,0.004,60
248.04357413803044,1730,1.7247688113416704,-0.007630737580723774,0.6028901734104046,1.097540408870052,35,55,0.0025,0.003,0.004,60
248.04357413803044,1730,1.7247688113416704,-0.007630737580723774,0.6028901734104046,1.097540408870052,35,55,0.0025,0.003,0.004,90
242.09534369775477,1832,1.6966188580916697,-0.007656382200622442,0.5835152838427947,1.092653524887672,35,55,0.0025,0.003,0.0035,60
242.09534369775477,1832,1.6966188580916697,-0.007656382200622442,0.5835152838427947,1.092653524887672,35,55,0.0025,0.003,0.0035,90
229.4832051218582,1438,1.6759210182136108,-0.008137178589772278,0.5987482614742698,1.1143575898497309,30,55,0.002,0.0035,0.004,60
